Symbol,Close,Open,Low,High,Average Price,Volume,Value,Market Cap,Previous Close,Trades,Net Foreign,Sector,Subsector,52-Week High,Earnings Per Share TTM (EPS),Price to Book Value (P/BV),52-Week Low,Price-Earnings Ratio TTM (P/E),Return on Equity (ROE),Fair Value,Dividends Per Share (DPS),Support 1,Resistance 1,Short-Term Trend,Support 2,Resistance 2,Medium-Term Trend,Week to Date %,Year to Date %,Month to Date %,MA 20,MA 20 status,MA 50,MA 50 status,MA 100,MA 100 status,MA 200,MA 200 status,RSI(14),MACD(12 26 9),ATR(14),CCI(20),STS(14 3 3),Williams %R(14),VolumeSMA(15),CandleStick(1),RVol,RvolIndicator,AOTS,Reversal
MRC,0.62,0.62,0.59,0.63,0.61,219100000,134650000,5280000000,0.59,2960,0,Property,Property,0.72,0.00 (0.00%),30.50,0.1050,0.00,-13.51%,-,-,0.54,0.64,UPTREND,0.48,0.68,UPTREND,5.08%,5.08%,5.08%,0.56,BULLISH,0.47,BULLISH,0.35,BULLISH,0.25,BULLISH,62.09,0.0411 0.0422,0.0527 (8.51%),95.2835,47.2222,-41.6667,190021000.00,Doji,0.97,No,Yes,No
URC,152.20,152.50,149.70,153.30,152.27,888470,135290000,335470000000,152.50,3100,0,Industrial,Food Beverage & Tobacco,163.40,4.66 (9.39%),3.69,82.00,32.40,10.73%,-,-,148.50,154.05,UPTREND,141.60,160.90,UPTREND,-0.20%,-0.20%,-0.20%,150.74,BULLISH,145.70,BULLISH,141.65,BULLISH,132.59,BULLISH,52.70,2.0602 2.5871,4.5122 (2.96%),20.6952,41.6090,-60.4167,1175498.00,Spinning Top,0.71,No,Yes,No
AC,836.00,827.00,823.00,837.50,831.06,161610,134310000,524520000000,827.00,1950,0,Holding Firms,Holding Firms,870.00,27.64 (-66.08%),1.66,360.00,29.87,4.26%,-,-,813.00,838.00,DOWNTREND,778.75,865.50,UPTREND,1.09%,1.09%,1.09%,838.75,BEARISH,807.26,BULLISH,761.22,BULLISH,710.41,BULLISH,52.44,3.9461 8.2649,20.1981 (2.42%),-42.8159,0.0000,-57.0093,301880.00,None,0.55,No,Yes,No
JGS,71.25,71.60,70.95,73.90,72.27,1780000,128479999,535870000000,71.60,3210,0,Holding Firms,Holding Firms,78.04,0.02 (-99.32%),1.64,26.66,3555.00,0.44%,-,-,70.28,72.95,UPTREND,65.38,78.02,UPTREND,-0.49%,-0.49%,-0.49%,70.57,BULLISH,68.27,BULLISH,63.74,BULLISH,59.14,BULLISH,52.56,0.6982 0.7756,2.4167 (3.39%),85.5975,59.0343,-44.9153,1502939.33,None,1.18,No,Yes,No
JFC,194.40,195.20,194.00,195.20,194.45,625440,121610000,215340000000,195.20,4030,0,Industrial,Food Beverage & Tobacco,217.00,-10.25 (-277.64%),3.23,91.10,-19.02,-24.44%,-,-,193.00,199.45,DOWNTREND,187.35,210.80,UPTREND,-0.41%,-0.41%,-0.41%,202.01,BEARISH,189.30,BULLISH,163.60,BULLISH,148.86,BULLISH,45.70,1.8270 4.3623,4.1413 (2.13%),-87.7224,8.7432,-90.7104,772216.00,Black Long Day,0.74,No,Yes,No
DD,15.66,15.00,14.96,15.66,15.43,6280000,96950000,37080000000,14.90,1510,0,Property,Property,22.20,4.03 (75.98%),1.52,11.00,3.77,11.73%,-,-,14.80,16.14,UPTREND,14.19,16.66,UPTREND,5.10%,5.10%,5.10%,15.32,BULLISH,14.71,BULLISH,14.74,BULLISH,15.72,BEARISH,55.15,0.2336 0.2937,0.5726 (3.66%),17.7271,0.0000,-57.0000,4360326.67,White Long Day,1.27,No,Buy in Tranches,Buy in tranches
PGOLD,41.05,41.10,41.00,41.90,41.17,2260000,93120000,118400000000,41.00,1440,0,Service,Retail,54.00,2.53 (14.48%),1.76,26.00,16.21,10.01%,-,-,40.38,41.70,DOWNTREND,37.68,43.02,SIDEWAYS,0.12%,0.12%,0.12%,41.56,BEARISH,42.11,BEARISH,45.72,BEARISH,44.70,BEARISH,43.68,-0.5117 -0.5234,0.9420 (2.29%),-37.5725,35.1190,-69.6429,3014206.67,Shooting Star,0.65,No,No,No
AGI,10.34,10.56,10.22,10.60,10.41,8650000,90030000,100370000000,10.60,1550,0,Holding Firms,Holding Firms,11.30,1.47 (-40.49%),0.35,5.30,7.20,7.05%,-,-,10.27,11.08,UPTREND,9.58,11.71,UPTREND,-2.45%,-2.45%,-2.45%,10.52,BEARISH,9.31,BULLISH,7.92,BULLISH,7.33,BULLISH,52.99,0.3989 0.5038,0.3614 (3.50%),-19.8410,44.5283,-84.7826,7893013.33,None,1.23,No,Yes,No
FNI,2.96,2.80,2.79,2.97,2.92,27800000,81100000,16180000000,2.72,2170,0,Mining And Oil,Mining,2.97,0.37 (184.62%),1.67,0.4550,7.57,26.79%,-,-,2.44,2.96,UPTREND,2.03,2.96,UPTREND,8.82%,8.82%,8.82%,2.49,BULLISH,1.90,BULLISH,1.55,BULLISH,1.18,BULLISH,80.18,0.2414 0.2444,0.1479 (5.00%),148.2456,86.7491,-1.3514,21445933.33,White Long Day,1.11,No,Yes,No
ICT,126.00,124.50,123.50,127.00,125.33,637590,79910000,257390000000,123.50,1740,0,Service,Transporation Services,135.00,0.9698 (-77.78%),2.85,61.85,128.17,16.29%,-,-,121.05,126.50,UPTREND,115.95,132.65,SIDEWAYS,2.02%,2.02%,2.02%,122.81,BULLISH,121.70,BULLISH,114.70,BULLISH,102.10,BULLISH,56.25,0.6288 0.5975,3.5690 (2.83%),138.5555,59.1275,-13.1579,1407772.00,None,0.48,No,Yes,No
SECB,135.00,135.00,132.80,135.00,134.14,570380,76510000,101730000000,134.00,1220,0,Financial,Banks,192.00,12.03 (-7.10%),0.82,77.00,11.21,6.18%,-,-,130.75,139.05,UPTREND,120.00,149.15,UPTREND,0.75%,0.75%,0.75%,135.77,BEARISH,116.25,BULLISH,104.92,BULLISH,104.45,BULLISH,56.76,5.6343 7.5049,4.7355 (3.51%),-11.4469,28.4553,-70.7317,1239510.67,Dragonfly Doji,0.42,No,Yes,No
C,5.60,5.20,5.16,5.68,5.49,13630000,74800000,10200000000,5.21,2580,0,Service,Transporation Services,7.02,-1.90 (-512.90%),0.96,1.91,-2.74,-39.77%,-,-,4.94,5.64,DOWNTREND,4.70,6.12,SIDEWAYS,7.49%,7.49%,7.49%,5.40,BULLISH,5.53,BULLISH,4.68,BULLISH,3.95,BULLISH,55.64,-0.0390 -0.0346,0.2782 (4.97%),43.2194,53.8720,-21.2121,5763900.00,White Long Day,2.35,Yes,No,No
GLO,2018.00,2030.00,2018.00,2070.00,2042.43,37670,76940000,269269999999,2030.00,930,0,Service,Telecommunications,2300.00,149.27 (-5.24%),3.58,1590.00,13.60,23.47%,-,-,2010.00,2052.00,SIDEWAYS,1934.00,2128.00,SIDEWAYS,-0.59%,-0.59%,-0.59%,2027.50,BEARISH,2026.40,BEARISH,2060.36,BEARISH,2076.45,BEARISH,47.81,1.0740 2.4402,42.4950 (2.11%),32.1977,38.8889,-68.3333,60811.33,Shooting Star,0.57,No,Buy in Tranches,Buy in tranches
RRHI,64.80,66.45,64.80,66.45,65.19,1130000,73780000,101320000000,65.00,521,0,Service,Retail,80.00,2.24 (-33.73%),1.42,44.00,29.24,4.48%,-,-,64.78,66.40,DOWNTREND,61.70,69.15,SIDEWAYS,-0.31%,-0.31%,-0.31%,67.02,BEARISH,66.62,BEARISH,66.14,BEARISH,64.47,BULLISH,40.17,-0.4938 -0.1717,1.5174 (2.34%),-133.0900,0.0000,-100.0000,628770.00,Black Marubozu,1.69,No,Yes,No
MPI,4.26,4.30,4.20,4.30,4.24,16870000,71570000,130650000000,4.28,1550,0,Holding Firms,Holding Firms,4.58,0.54 (25.58%),0.71,2.28,7.94,4.94%,-,-,4.14,4.30,DOWNTREND,3.98,4.56,UPTREND,-0.47%,-0.47%,-0.47%,4.33,BEARISH,4.19,BULLISH,3.81,BULLISH,3.44,BULLISH,49.82,0.0214 0.0476,0.1232 (2.89%),-54.6636,37.6389,-60.0000,31602600.00,None,0.55,No,Yes,No
CEB,48.60,50.00,47.90,50.00,48.53,1470000,71210000,29180000000,50.50,2890,0,Service,Transporation Services,89.00,-20.59 (-256.10%),1.00,31.05,-2.42,-67.85%,-,-,48.25,53.60,UPTREND,46.00,57.80,UPTREND,-3.76%,-3.76%,-3.76%,51.18,BEARISH,46.01,BULLISH,41.73,BULLISH,43.33,BULLISH,46.83,1.3471 2.0205,2.5113 (5.17%),-100.9597,13.7131,-93.2692,1195670.67,Black Long Day,1.08,No,Yes,No
PHR,3.04,2.85,2.85,3.05,2.97,22890000,67940000,21070000000,2.81,1530,0,Service,Casinos & Gaming,5.14,-0.13 (-44.44%),3.25,1.66,-22.00,-9.30%,-,-,2.67,3.07,DOWNTREND,2.06,3.26,UPTREND,8.19%,8.19%,8.19%,3.02,BULLISH,2.90,BULLISH,2.57,BULLISH,2.91,BULLISH,52.74,0.0101 0.0454,0.1923 (6.32%),-36.3121,0.0000,-39.3443,15959066.67,White Long Day,1.29,No,Yes,Reversal soon
NIKL,5.68,5.60,5.60,5.80,5.73,10320000,59160000,77420000000,5.60,2100,0,Mining And Oil,Mining,5.80,0.17 (-15.00%),2.63,1.40,33.41,16.55%,-,-,5.02,5.74,UPTREND,4.54,5.74,UPTREND,1.43%,1.43%,1.43%,5.07,BULLISH,4.46,BULLISH,3.78,BULLISH,2.79,BULLISH,80.39,0.2948 0.2800,0.2052 (3.61%),188.8421,88.3861,-11.7647,12595453.33,None,0.81,No,Yes,No
BLOOM,8.34,8.12,8.04,8.38,8.15,6480000,52850000,91400000000,8.11,861,0,Service,Casinos & Gaming,11.14,-0.41 (-148.81%),2.55,4.03,-19.80,-24.15%,-,-,8.00,8.48,DOWNTREND,7.04,8.90,UPTREND,2.84%,2.84%,2.84%,8.55,BEARISH,8.18,BULLISH,7.42,BULLISH,6.91,BULLISH,47.98,0.0057 0.0878,0.2892 (3.47%),-119.6510,38.5526,-48.2353,3976166.67,None,1.6,No,Yes,No
MER,295.00,293.00,292.00,295.00,293.98,180930,53190000,332490000000,292.00,972,0,Industrial,Electricity Energy Power & Water,315.00,14.45 (-29.99%),4.21,189.70,20.35,20.03%,-,-,281.90,301.80,DOWNTREND,270.60,315.00,SIDEWAYS,1.03%,1.03%,1.03%,290.06,BULLISH,294.93,BULLISH,283.01,BULLISH,272.83,BULLISH,54.76,-1.9495 -2.4978,6.6997 (2.27%),42.5087,46.3636,-39.0909,348452.00,White Long Day,0.46,No,Buy in Tranches,No
CNVRG,15.08,14.90,14.54,15.08,14.84,3510000,52130000,113500000000,14.90,1260,0,Service,Information Technology,16.98,0.39 (44.44%),10.34,13.20,38.46,9.99%,-,-,14.72,15.51,DOWNTREND,14.22,16.09,NONE,1.21%,1.21%,1.21%,15.59,BEARISH,0.00,NEUTRAL,0.00,NEUTRAL,0.00,NEUTRAL,41.95,-0.0435 0.0888,0.4016 (2.66%),-199.7848,0.0000,-60.2941,4809113.33,Hammer,0.66,No,No,No
MWIDE,7.66,7.98,7.52,7.98,7.70,6670000,51360000,15420000000,7.94,1620,0,Industrial,Construction Infra. & Allied Services,16.80,-0.34 (-236.00%),1.81,4.54,-23.38,-8.57%,-,-,7.59,8.40,DOWNTREND,7.08,10.00,UPTREND,-3.53%,-3.53%,-3.53%,8.79,BEARISH,8.41,BEARISH,7.65,BULLISH,7.37,BULLISH,35.63,-0.2082 -0.0219,0.4322 (5.64%),-150.8159,4.0963,-92.8571,8798306.67,Black Long Day,0.8,No,Yes,No
AR,0.0029,0.0029,0.0027,0.0031,0.0029,16790000000,49130000,577950000,0.0029,1580,0,Mining And Oil,Mining,0.0039,0.00 (0.00%),0.00,0.0007,0.00,-0.06%,-,-,0.0028,0.0037,UPTREND,0.0010,0.0037,UPTREND,0.00%,0.00%,0.00%,0.0023,BULLISH,0.0015,BULLISH,0.0012,BULLISH,0.0011,BULLISH,65.34,0.0005 0.0005,0.0004 (13.79%),55.9664,73.3823,-41.6667,55916133333.3333,Doji,0.29,No,Yes,No
MAC,6.54,6.70,6.52,6.70,6.58,7430000,48930000,12370000000,6.80,1660,0,Service,Transporation Services,13.75,-0.27 (-142.86%),2.16,2.85,-24.81,-20.40%,-,-,6.53,7.24,DOWNTREND,5.58,8.31,UPTREND,-3.82%,-3.82%,-3.82%,7.58,BEARISH,6.72,BEARISH,5.72,BULLISH,5.08,BULLISH,37.66,-0.0536 0.1645,0.4095 (6.26%),-161.5065,7.9383,-98.7952,7096480.00,Black Long Day,0.93,No,Yes,No
EMP,10.16,10.16,10.12,10.18,10.16,4260000,43260000,161000000000,10.10,1140,0,Industrial,Food Beverage & Tobacco,10.98,0.46 (39.39%),2.44,6.00,22.04,11.56%,-,-,9.91,10.17,SIDEWAYS,9.62,10.60,SIDEWAYS,0.59%,0.59%,0.59%,10.04,BULLISH,10.01,BULLISH,9.95,BULLISH,9.03,BULLISH,64.61,0.0143 0.0065,0.1093 (1.08%),217.9964,84.5150,-5.7143,6658006.67,Doji,0.58,No,Yes,No
AEV,46.70,46.55,46.55,47.35,46.80,912200,42690000,262930000000,47.25,775,0,Holding Firms,Holding Firms,54.00,2.60 (-33.50%),1.49,26.70,17.96,8.16%,-,-,46.12,47.32,UPTREND,42.20,48.90,SIDEWAYS,-1.16%,-1.16%,-1.16%,46.28,BULLISH,46.08,BULLISH,46.75,BEARISH,45.24,BULLISH,51.06,0.1894 0.1419,1.3734 (2.94%),59.5862,74.7850,-35.2941,1339293.33,Inverted Hammer,0.76,No,Buy in Tranches,Buy in tranches
MWC,16.26,15.94,15.72,16.26,16.00,2550000,40750000,33570000000,15.98,548,0,Industrial,Electricity Energy Power & Water,16.52,1.81 (-22.65%),0.57,8.10,8.73,6.61%,-,-,15.42,16.38,UPTREND,14.80,19.18,UPTREND,1.75%,1.75%,1.75%,15.86,BULLISH,15.09,BULLISH,14.50,BULLISH,13.10,BULLISH,59.46,0.2431 0.2952,0.4304 (2.65%),51.5931,55.2083,-20.3125,1612880.00,None,1.82,No,Yes,No
SCC,14.00,13.86,13.60,14.00,13.80,2940000,40580000,59510000000,13.78,751,0,Mining And Oil,Mining,22.25,1.04 (-61.90%),1.41,8.30,13.33,8.92%,-,-,13.55,14.39,UPTREND,11.92,15.11,UPTREND,1.60%,1.60%,1.60%,13.51,BULLISH,12.29,BULLISH,11.05,BULLISH,11.63,BULLISH,58.45,0.6007 0.6748,0.5611 (4.01%),30.6799,53.7578,-48.1481,4424146.67,Hammer,0.65,No,Yes,No
DMC,5.67,5.66,5.65,5.80,5.67,6520000,36980000,75280000000,5.66,753,0,Holding Firms,Holding Firms,7.16,0.39 (-61.39%),0.94,3.10,14.51,7.54%,-,-,5.58,5.90,SIDEWAYS,5.36,6.20,UPTREND,0.18%,0.18%,0.18%,5.87,BEARISH,5.28,BULLISH,4.62,BULLISH,4.38,BULLISH,49.89,0.1250 0.2086,0.1851 (3.26%),-56.9142,25.6757,-77.0270,8243933.33,Inverted Hammer,0.79,No,Yes,No
ACEX,14.02,11.70,11.62,14.78,13.59,2590000,35150000,3510000000,11.50,894,0,Mining And Oil,Oil,14.78,-0.03 (70.00%),46.80,4.20,-390.00,-22.20%,-,-,10.80,14.40,UPTREND,7.98,14.40,UPTREND,21.91%,21.91%,21.91%,10.96,BULLISH,8.33,BULLISH,7.09,BULLISH,6.69,BULLISH,75.28,1.2035 1.1744,0.9246 (6.60%),164.7510,68.2885,-16.5939,710713.33,White Long Day,3.68,Yes,Yes,No
FRUIT,1.69,1.70,1.65,1.70,1.67,20230000,33800000,3610000000,1.70,1040,0,Industrial,Food Beverage & Tobacco,2.07,0.02 (0.00%),2.91,0.90,84.50,-4.13%,-,-,1.66,1.76,UPTREND,1.50,1.85,UPTREND,-0.59%,-0.59%,-0.59%,1.68,BULLISH,1.48,BULLISH,1.34,BULLISH,1.32,BULLISH,57.85,0.0706 0.0849,0.0867 (5.13%),8.1136,39.1331,-73.0769,38034800.00,Hanging Man,0.5,No,Yes,No
ALLHC,3.69,3.43,3.43,3.72,3.64,9010000,32770000,23250000000,3.40,831,0,Holding Firms,Holding Firms,3.75,0.05 (-64.29%),1.94,1.10,69.60,1.92%,-,-,3.33,3.70,UPTREND,3.04,3.91,UPTREND,8.53%,8.53%,8.53%,3.31,BULLISH,3.03,BULLISH,2.55,BULLISH,2.13,BULLISH,65.85,0.1557 0.1484,0.1676 (4.54%),113.1526,59.9942,-8.9552,7937333.33,White Long Day,1.01,No,Yes,No
AP,27.00,26.60,26.55,27.15,26.96,1190000,32130000,198680000000,26.55,1060,0,Industrial,Electricity Energy Power & Water,35.35,1.48 (-41.04%),1.61,20.15,17.94,9.73%,-,-,26.12,27.08,UPTREND,25.10,28.05,SIDEWAYS,1.69%,1.69%,1.69%,26.92,BULLISH,27.05,BEARISH,26.50,BULLISH,26.72,BULLISH,50.04,-0.0667 -0.0069,0.6832 (2.53%),-11.4851,31.0077,-55.8140,1976080.00,White Long Day,0.56,No,Buy in Tranches,Buy in tranches,Reversal soon
HLCM,7.40,7.25,7.18,7.45,7.35,4070000,29860000,47750000000,7.25,617,0,Industrial,Construction Infra. & Allied Services,14.08,0.42 (0.00%),1.63,4.40,17.26,5.70%,-,-,7.14,7.77,UPTREND,6.68,8.67,UPTREND,2.07%,2.07%,2.07%,7.31,BULLISH,6.57,BULLISH,6.00,BULLISH,7.54,BEARISH,56.73,0.2385 0.2969,0.3382 (4.57%),21.3024,44.9021,-56.5217,3577220.00,None,1.02,No,Yes,No
SMC,134.00,128.10,125.50,134.00,129.42,219000,28340000,318720000000,128.10,973,0,Holding Firms,Holding Firms,165.00,-2.52 (-137.22%),1.42,72.50,-50.79,4.30%,-,-,125.15,140.15,SIDEWAYS,121.00,148.40,UPTREND,4.61%,4.61%,4.61%,134.05,BEARISH,118.81,BULLISH,109.46,BULLISH,104.38,BULLISH,58.99,3.2021 4.9316,4.3254 (3.23%),-58.4123,42.3143,-38.8601,265497.33,White Long Day,0.87,No,Yes,No
CNPF,17.90,17.50,17.50,17.92,17.79,1630000,29030000,63410000000,17.50,391,0,Industrial,Food Beverage & Tobacco,18.48,1.08 (24.14%),2.96,9.53,16.35,20.37%,-,-,17.44,17.91,SIDEWAYS,15.51,18.39,SIDEWAYS,2.29%,2.29%,2.29%,17.59,BULLISH,17.47,BULLISH,17.15,BULLISH,15.73,BULLISH,59.12,0.0391 0.0374,0.2905 (1.62%),115.0488,37.7778,-16.6667,2945580.00,White Long Day,0.47,No,Yes,No
LC,0.1830,0.1610,0.1610,0.1850,0.1756,159350000,27970000,7290000000,0.16,687,0,Mining And Oil,Mining,0.1850,-0.01 (50.00%),1.37,0.06,-16.40,-8.56%,-,-,0.1550,0.1840,UPTREND,0.1485,0.1840,SIDEWAYS,14.38%,14.38%,14.38%,0.1607,BULLISH,0.1566,BULLISH,0.1500,BULLISH,0.1183,BULLISH,67.74,0.0042 0.0030,0.0095 (5.20%),218.9406,56.2627,-5.4054,68613333.3333,White Long Day,2.04,Yes,Yes,No
IDC,3.39,3.21,3.21,3.39,3.30,8510000,28080000,1470000000,3.18,1080,0,Small Medium & Emerging Board,Small Medium & Emerging Board,4.21,0.11 (-80.36%),1.84,1.40,29.18,7.73%,-,-,2.99,3.80,UPTREND,2.89,4.00,UPTREND,6.60%,6.60%,6.60%,3.10,BULLISH,3.01,BULLISH,2.50,BULLISH,2.22,BULLISH,61.15,0.0518 0.0456,0.1783 (5.26%),202.2761,61.4815,0.0000,5380200.00,White Marubozu,1.43,No,Yes,No
WLCON,17.98,17.06,16.88,17.98,17.60,1540000,27120000,73710000000,16.90,841,0,Service,Retail,19.00,0.36 (-26.53%),4.71,10.50,47.22,9.59%,-,-,16.86,18.13,DOWNTREND,15.96,18.84,UPTREND,6.39%,6.39%,6.39%,17.58,BULLISH,16.33,BULLISH,16.02,BULLISH,15.52,BULLISH,59.34,0.2601 0.3397,0.4947 (2.75%),15.9094,33.3333,-17.1429,1270500.00,White Long Day,1.22,No,Yes,No
APX,1.80,1.77,1.73,1.80,1.78,15070000,26840000,11210000000,1.73,521,0,Mining And Oil,Mining,2.32,0.19 (850.00%),1.61,0.55,9.32,23.86%,-,-,1.71,1.85,DOWNTREND,1.51,1.92,SIDEWAYS,4.05%,4.05%,4.05%,1.79,BULLISH,1.84,BEARISH,1.69,BULLISH,1.35,BULLISH,51.22,-0.0165 -0.0132,0.0724 (4.02%),-25.5255,29.8712,-44.4444,8681200.00,None,1.6,No,No,No
TECH,6.83,6.70,6.70,6.91,6.83,3590000,24540000,2860000000,6.64,905,0,Industrial,Electrical Components & Equipment,13.38,0.4849 (0.00%),6.93,3.60,13.86,2.13%,-,-,6.56,7.08,UPTREND,6.28,7.74,UPTREND,2.86%,2.86%,2.86%,7.02,BEARISH,6.39,BULLISH,6.05,BULLISH,6.64,BULLISH,49.87,0.1026 0.2108,0.3454 (5.06%),-48.4610,14.4703,-75.1938,7886606.67,None,0.46,No,Yes,No
PXP,11.92,11.10,11.00,12.08,11.54,1880000,21730000,23360000000,11.00,405,0,Mining And Oil,Oil,14.40,-0.14 (-250.00%),7.16,3.50,-79.29,-1.43%,-,-,10.91,12.00,DOWNTREND,10.42,14.15,UPTREND,8.36%,8.36%,8.36%,12.63,BEARISH,11.81,BULLISH,8.59,BULLISH,6.82,BULLISH,48.43,-0.0809 0.2046,0.6192 (5.19%),-92.0130,17.0215,-62.8378,1868146.67,White Long Day,0.9,No,Yes,No
FGEN,28.20,28.15,28.15,28.70,28.26,703400,19880000,101460000000,28.15,527,0,Industrial,Electricity Energy Power & Water,29.80,3.3944 (0.00%),0.88,14.00,8.29,12.51%,-,-,28.08,29.22,SIDEWAYS,27.12,29.75,SIDEWAYS,0.18%,0.18%,0.18%,28.34,BEARISH,28.13,BULLISH,26.27,BULLISH,23.05,BULLISH,48.81,0.1243 0.1519,0.7314 (2.59%),10.0642,44.0909,-72.7273,915006.67,Inverted Hammer,0.81,No,Yes,No
LTG,13.04,13.00,12.90,13.16,13.01,1450000,18920000,141110000000,13.10,521,0,Holding Firms,Holding Firms,14.08,2.26 (32.94%),0.78,5.50,5.82,9.23%,-,-,12.87,13.30,SIDEWAYS,12.23,14.05,UPTREND,-0.46%,-0.46%,-0.46%,13.48,BEARISH,12.69,BULLISH,10.60,BULLISH,9.21,BULLISH,47.41,0.1422 0.3090,0.4173 (3.20%),-112.2208,21.2121,-78.7879,2495866.67,Spinning Top,0.56,No,Yes,No
PX,5.37,5.06,5.06,5.46,5.28,3530000,18650000,26530000000,4.95,393,0,Mining And Oil,Mining,6.50,-0.03 (-130.00%),1.05,1.85,-168.67,5.94%,-,-,4.92,5.42,UPTREND,4.54,5.60,DOWNTREND,8.48%,8.48%,8.48%,5.02,BULLISH,5.19,BULLISH,4.53,BULLISH,3.47,BULLISH,58.06,0.0393 0.0150,0.2620 (4.88%),128.6861,56.3603,-12.0000,4613433.33,White Long Day,0.79,No,No,No
VLL,4.65,4.68,4.56,4.70,4.60,4010000,18460000,59050000000,4.68,542,0,Property,Property,7.56,0.61 (-30.68%),0.57,2.86,7.67,7.13%,-,-,4.54,4.83,SIDEWAYS,4.26,5.34,UPTREND,-0.64%,-0.64%,-0.64%,4.84,BEARISH,4.18,BULLISH,3.71,BULLISH,3.85,BULLISH,51.21,0.1314 0.2196,0.1984 (4.27%),-72.0293,15.1515,-82.9545,13408533.33,None,0.29,No,Yes,No
PNB,29.00,29.50,28.95,29.50,29.09,640000,18620000,44250000000,29.35,359,0,Financial,Banks,36.65,4.72 (-25.32%),0.29,18.50,6.25,4.10%,-,-,28.98,30.90,SIDEWAYS,27.42,32.20,UPTREND,-1.19%,-1.19%,-1.19%,30.29,BEARISH,28.82,BULLISH,25.25,BULLISH,23.47,BULLISH,40.29,0.2452 0.5681,0.6682 (2.30%),-195.7768,0.0000,-97.8723,479860.00,Black Long Day,1.18,No,Yes,No
AREIT,29.25,29.35,29.20,29.40,29.28,586700,17180000,30000000000,29.35,545,0,Property,Property,30.00,0.82 (-21.15%),2.44,23.85,35.73,4.95%,-,-,28.82,29.40,UPTREND,27.25,29.95,UPTREND,-0.34%,-0.34%,-0.34%,28.72,BULLISH,27.12,BULLISH,0.00,NEUTRAL,0.00,NEUTRAL,68.48,0.6929 0.7557,0.4050 (1.38%),50.5536,70.9167,-31.2500,1836993.33,Spinning Top,0.27,No,Yes,No
ABA,0.65,0.65,0.62,0.66,0.64,23950000,15300000,2069999999,0.64,748,0,Holding Firms,Holding Firms,0.97,0.12 (-89.57%),0.20,0.44,5.42,-0.83%,-,-,0.63,0.72,UPTREND,0.59,0.76,UPTREND,1.56%,1.56%,1.56%,0.67,BEARISH,0.58,BULLISH,0.52,BULLISH,0.52,BULLISH,51.37,0.0257 0.0367,0.0453 (6.97%),-45.1175,21.5686,-76.4706,48607466.67,Doji,0.41,No,Yes,No
FLI,1.11,1.12,1.11,1.13,1.11,12600000,14040000,26920000000,1.12,416,0,Property,Property,1.56,0.18 (-28.00%),0.37,0.77,6.22,4.37%,-,-,1.10,1.16,SIDEWAYS,1.02,1.28,UPTREND,-0.89%,-0.89%,-0.89%,1.15,BEARISH,1.06,BULLISH,0.99,BULLISH,0.97,BULLISH,46.60,0.0182 0.0317,0.0302 (2.72%),-115.3846,14.8148,-88.8889,17912266.67,None,0.63,No,Yes,No
GREEN,2.58,2.60,2.54,2.61,2.57,5190000,13340000,4650000000,2.60,202,0,Industrial,Electrical Components & Equipment,2.74,-0.03 (0.00%),1.95,0.65,-85.33,-1.33%,-,-,2.46,2.60,DOWNTREND,2.28,2.70,SIDEWAYS,-0.77%,-0.77%,-0.77%,2.61,BEARISH,2.57,BULLISH,2.30,BULLISH,1.83,BULLISH,48.59,0.0020 0.0134,0.0883 (3.42%),-45.0122,55.6373,-38.2353,8217866.67,None,0.68,No,Yes,No
DNL,7.60,7.70,7.45,7.78,7.55,1700000,12810000,54290000000,7.70,696,0,Industrial,Food Beverage & Tobacco,9.60,0.27 (-30.77%),3.24,3.97,28.81,11.44%,-,-,7.20,7.74,UPTREND,6.98,8.02,UPTREND,-1.30%,-1.30%,-1.30%,7.36,BULLISH,6.83,BULLISH,6.02,BULLISH,5.57,BULLISH,61.75,0.1820 0.2008,0.2413 (3.18%),127.1249,72.3364,-24.6575,7038553.33,None,0.21,No,Yes,No
MARC,1.62,1.50,1.47,1.65,1.57,7940000,12500000,4880000000,1.46,401,0,Mining And Oil,Mining,1.66,0.13 (165.00%),1.16,0.45,11.54,4.62%,-,-,1.37,1.64,UPTREND,1.22,1.64,UPTREND,10.96%,10.96%,10.96%,1.39,BULLISH,1.17,BULLISH,1.05,BULLISH,0.82,BULLISH,73.00,0.1015 0.0980,0.1070 (6.60%),139.4680,67.4243,-9.0909,6438533.33,White Long Day,1.16,No,Yes,No
SSI,1.48,1.48,1.47,1.52,1.49,7490000,11170000,4880000000,1.49,416,0,Service,Retail,2.83,-0.14 (-160.87%),0.46,0.88,-10.64,-9.83%,-,-,1.46,1.63,DOWNTREND,1.24,1.78,UPTREND,-0.67%,-0.67%,-0.67%,1.66,BEARISH,1.53,BEARISH,1.31,BULLISH,1.26,BULLISH,37.87,-0.0116 0.0261,0.0851 (5.75%),-172.3150,20.5883,-85.2941,10628266.67,Doji,0.67,No,Yes,No
COSCO,5.61,5.70,5.55,5.71,5.64,1970000,11140000,40380000000,5.65,290,0,Holding Firms,Holding Firms,6.80,0.78 (-54.12%),0.37,4.25,7.32,8.05%,-,-,5.58,5.76,SIDEWAYS,5.37,6.02,UPTREND,-0.71%,-0.71%,-0.71%,5.71,BEARISH,5.45,BULLISH,5.25,BULLISH,5.20,BULLISH,49.95,0.0574 0.0834,0.1473 (2.63%),-148.1831,37.8033,-72.4138,2463306.67,None,0.74,No,Yes,No
